Empty Cell,Age/Stage,GTS2012,GTS2020,GTS2020 uncertainty in myr (95%),Snapshot comments on selected levels
,Hettangian,201.3,201.4,0.2,Precise lower stage boundary radiometric date
Triassic,Rhaetian,209.5,205.7,0.4,"Revised stage ""working"" boundary correlation to Newark cycle-scaled magnetostratigraphy. No GSSP; used proposed Italian candidate and marker instead of Austrian version in GTS2012"
,Norian,228.4,227.3,0.4,"Revised stage ""working"" boundary correlation to Newark cycle-scaled magnetostratigraphy. No GSSP"
,Carnian,237,237,0.5,
,Ladinian,241.5,241.5,0.3,Precise lower stage boundary radiometric date
,Anisian,247.1,246.7,0.2,"Cycle-duration (3.2 myr) relative to revised base-Induan date, plus radiometric dating of potential GSSP"
,Olenekian,250,249.9,0.2,Cycle-duration (2.0 myr) relative to revised base-Induan date. No GSSP yet; used S.China candidate with conodont
,Induan,252.2,251.9,0.3,Revised precise radiometric dates on GSSP.
Permian,Changhsingian,254.2,254.2,0.4,
,Wuchiapingian,259.8,259.5,0.4,Revised spline fit
,Capitanian,265.1,264.3,0.4,",,"
,Wordian,268.8,269.2,0.4,New radioisotopic dating
,Roadian,272.3,274.4,0.4,",,"
,Kungurian,279.3,283.3,0.4,Revised working definition uses an older marker and new spline fit
,Artinskian,290.1,290.5,0.4,"Updated marker, revised spline fit"
,Sakmarian,295.5,293.5,0.4,"Ratified GSSP definition uses a younger marker, revised spline fit"
,Asselian,298.9,298.9,0.4,Precise lower stage boundary age date
Carboniferous,Gzhelian,303.7,303.7,0.4,
,Kasimovian,307,307,0.4,
,Moscovian,315.2,315.2,0.4,
,Bashkirian,323.2,323.4,0.4,
,Serpukhovian,330.9,330.3,0.4,Revised spline fit
,Visean,346.7,346.7,0.4,",,"
,Tournaisian,358.9,359.3,0.3,",,"
Devonian,Famennian,372.2,371.1,1.1,Pragian through Famennian spline fit to new or updated correlation of radioisotopic dates
,Frasnian,382.7,378.9,1.2,",,"
,Givetian,387.7,385.3,1.2,",,"
,Eifelian,393.3,394.3,1.1,",,"
,Emsian,407.6,410.5,1.1,",,Future Emsian GSSP may give 407.3 Ma age"
,Pragian,410.8,412.4,1.1,
,Lochkovian,419.2,419,1.8,
Silurian,Pridoli (Epoch),423,422.7,1.6,Tremadocian through Pridoli with spline fit to new or updated correlation of radioisotopic dates and improved composite standard
,Ludfordian,425.6,425,1.5,",,"
,Gorstian,427.4,426.7,1.5,",,"
,Homerian,430.5,430.6,1.3,",,"
,Sheinwoodian,433.4,432.9,1.2,",,"
,Telychian,438.5,438.6,1.1,",,"
,Aeronian,440.8,440.5,1,",,"
,Rhuddanian,443.8,443.1,0.9,",,"
Ordovician,Hirnantian,445.2,445.2,0.9,",,"
,Katian,453,452.8,0.7,",,"
,Sandbian,458.4,458.2,0.7,",,"
,Darriwilian,467.3,469.4,0.9,",,"
,Dapingian,470,471.3,1,",,"
,Floian,477.7,477.1,1.2,",,"
,Tremadocian,485.4,486.9,1.5,New radioisotopic dating
Cambrian,Age 10,489.5,491,,",,"
,Jiangshanian,494,494.2,,
,Paibian,497,497,,
,Guzhangian,500.5,500.5,,
,Drumian,504.5,504.5,,
,Wuliuan,509,509,,
,Age 4,514,514.5,,
,Age 3,521,521,,
,Age 2,529,529,,
,Fortunian,541,538.8,0.6,Revised radioisotopic dating
Ediacaran,Series 1,635,635,,
